Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,"Price and Baggage Regulations: How important are the cost of the flight and the airline's baggage policies (e.g., fees for checked baggage, carry-on allowances) when choosing an airline?",Specific Desired Airport: How important is it for you to fly into or out of a specific airport when choosing an airline?,Track Record of Being On Time: How important is an airline's track record of being on time (punctuality) when choosing an airline?,"Service Quality and Comfort: How important are service quality and comfort (e.g., seat comfort, in-flight services) when choosing an airline? In other words, does having a good experience (or negative) with an airline have a large impact on you flying with them again.","Loyalty Scheme: How important is an airline's loyalty program (e.g., frequent flyer miles) in your decision to choose that airline?",Do you believe premiums airlines tend to be more punctual when compared with budget airlines?,Ranking of Factors:Please rank the following factors from most important to least important when choosing an airline (5 being the most important and 1 being the least important):,,,,,Gender,Age,Major US Region,Device,Household Income
118651107803,457190052,07/19/2024 12:48:45 AM,07/19/2024 12:50:39 AM,,,,,ab727ae64a7c51c351037c0e99,smc,4,5,4,3,3,No,2,1,3,4,5,male,60_above,east_north_central,pc_windows,100000_to_124999
118651107957,457190052,07/19/2024 12:48:43 AM,07/19/2024 12:50:37 AM,,,,,13f8423d815a43234e9e0b00a4,smc,4,1,4,5,5,No,3,4,5,1,2,female,45_to_60,east_north_central,android_mobile,25000_to_49999
118651107869,457190052,07/19/2024 12:48:56 AM,07/19/2024 12:50:27 AM,,,,,eb3dfb383e994aade61ec0550b,smc,5,5,5,5,1,Yes,1,2,3,4,5,female,45_to_60,east_south_central,ios_mobile,25000_to_49999
118651107841,457190052,07/19/2024 12:49:01 AM,07/19/2024 12:50:24 AM,,,,,059838ab6d62ab14777b6aa81d,smc,5,4,4,4,5,Yes,1,5,3,4,2,female,60_above,pacific,ios_mobile,75000_to_99999
118651107765,457190052,07/19/2024 12:49:23 AM,07/19/2024 12:50:15 AM,,,,,567c945d795d12781e3ed8746f,smc,4,3,4,3,2,No,1,2,3,4,5,male,18_to_29,pacific,android_mobile,75000_to_99999
118651107758,457190052,07/19/2024 12:49:15 AM,07/19/2024 12:50:15 AM,,,,,4e45cc6f391a721aac5112fc90,smc,4,4,4,4,4,No,1,3,2,4,5,female,45_to_60,east_north_central,android_mobile,75000_to_99999
118651107661,457190052,07/19/2024 12:49:09 AM,07/19/2024 12:50:04 AM,,,,,56dd6fc3bbfc7e909c7d5473b3,smc,5,5,4,5,3,Yes,1,3,4,2,5,male,45_to_60,south_atlantic,ios_mobile,75000_to_99999
118651107623,457190052,07/19/2024 12:49:23 AM,07/19/2024 12:49:59 AM,,,,,f9b3dbd511ce2a95cb434bf2af,smc,4,4,4,4,4,Yes,2,3,4,5,1,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118651107581,457190052,07/19/2024 12:48:50 AM,07/19/2024 12:49:54 AM,,,,,5a669b342fa152cdc13f6f87d2,smc,4,3,5,5,2,No,3,4,1,2,5,male,30_to_44,new_england,ios_mobile,75000_to_99999
118651107549,457190052,07/19/2024 12:48:42 AM,07/19/2024 12:49:52 AM,,,,,5214c100a6983be9415ff5223d,smc,5,5,5,5,5,,1,5,3,2,4,female,45_to_60,pacific,ios_mobile,200000_and_up
118651107554,457190052,07/19/2024 12:48:57 AM,07/19/2024 12:49:51 AM,,,,,0b0e8d49638ad19035fe227bc9,smc,5,5,5,5,5,Yes,1,2,4,3,5,female,30_to_44,west_south_central,android_mobile,0_to_9999
118651107532,457190052,07/19/2024 12:49:11 AM,07/19/2024 12:49:48 AM,,,,,bc4246e030fbe9b467bd8810c5,smc,4,3,4,5,2,Yes,3,4,2,1,5,female,45_to_60,,ios_mobile,100000_to_124999
118651107516,457190052,07/19/2024 12:48:50 AM,07/19/2024 12:49:46 AM,,,,,199644acd70b7759e4c8f07611,smc,5,5,4,5,4,Yes,2,1,3,4,5,male,30_to_44,middle_atlantic,android_mobile,50000_to_74999
118651107507,457190052,07/19/2024 12:48:52 AM,07/19/2024 12:49:45 AM,,,,,d0beef08aa39c250c69f20395f,smc,5,5,5,5,5,Yes,3,2,4,1,5,female,30_to_44,south_atlantic,ios_mobile,50000_to_74999
118651107420,457190052,07/19/2024 12:49:12 AM,07/19/2024 12:49:37 AM,,,,,c20ca7c2c1f121f51ec2b69ae1,smc,5,5,5,5,5,Yes,3,1,2,4,5,male,30_to_44,pacific,android_mobile,200000_and_up
118651107422,457190052,07/19/2024 12:49:04 AM,07/19/2024 12:49:35 AM,,,,,d52b3d0f5802e2e8be9f55ea6a,smc,5,3,2,4,3,Yes,5,3,1,4,2,male,30_to_44,pacific,ios_mobile,50000_to_74999
118651107405,457190052,07/19/2024 12:49:16 AM,07/19/2024 12:49:34 AM,,,,,2715989d9a254295d2db214e7f,smc,5,4,5,3,5,Yes,2,3,4,1,5,male,45_to_60,pacific,android_mobile,125000_to_149999
118651107383,457190052,07/19/2024 12:48:11 AM,07/19/2024 12:49:30 AM,,,,,f2e8b68aa164d33f052acc4de8,smc,3,5,4,4,1,Yes,2,1,3,4,5,male,60_above,mountain,pc_windows,50000_to_74999
118651107343,457190052,07/19/2024 12:48:16 AM,07/19/2024 12:49:30 AM,,,,,ce384302304d6a921378db897a,smc,5,5,5,5,5,Yes,1,2,3,4,5,male,18_to_29,,ios_mobile,0_to_9999
118651107338,457190052,07/19/2024 12:48:53 AM,07/19/2024 12:49:28 AM,,,,,a8169d130b4e1d885a043e6247,smc,5,5,5,5,5,Yes,1,4,3,2,5,female,18_to_29,pacific,ios_mobile,25000_to_49999
118651107336,457190052,07/19/2024 12:48:19 AM,07/19/2024 12:49:28 AM,,,,,143dda2bf93c6e77b51f226a99,smc,5,3,4,5,4,Yes,5,1,3,4,2,female,30_to_44,pacific,ios_mobile,0_to_9999
118651107332,457190052,07/19/2024 12:49:03 AM,07/19/2024 12:49:26 AM,,,,,c77332f62a29a4161afa7fdceb,smc,5,5,5,4,5,Yes,4,1,2,3,5,male,30_to_44,south_atlantic,android_mobile,100000_to_124999
118651107329,457190052,07/19/2024 12:48:43 AM,07/19/2024 12:49:24 AM,,,,,23e8223139e0a8f6e11a670e07,smc,5,4,5,5,1,No,1,2,4,3,5,female,30_to_44,east_north_central,android_mobile,10000_to_24999
118651107288,457190052,07/19/2024 12:49:01 AM,07/19/2024 12:49:21 AM,,,,,e33f4af2976d5f54b10f048db5,smc,4,4,3,4,3,Yes,1,2,5,4,3,female,18_to_29,east_north_central,ios_mobile,10000_to_24999
118651107297,457190052,07/19/2024 12:48:52 AM,07/19/2024 12:49:21 AM,,,,,37acf9a066feb743ab4b8f86da,smc,3,4,4,3,4,Yes,5,2,1,3,4,female,30_to_44,pacific,android_mobile,100000_to_124999
118651107248,457190052,07/19/2024 12:48:37 AM,07/19/2024 12:49:15 AM,,,,,184de36ceab5f29e0b55649b91,smc,1,1,1,1,1,Yes,1,2,3,4,5,female,30_to_44,pacific,ios_mobile,125000_to_149999
118651107243,457190052,07/19/2024 12:48:48 AM,07/19/2024 12:49:15 AM,,,,,10403e6e14c7b86dc62b926e89,smc,3,3,3,3,3,No,1,5,3,2,4,male,18_to_29,west_south_central,ios_mobile,50000_to_74999
118651107225,457190052,07/19/2024 12:48:49 AM,07/19/2024 12:49:13 AM,,,,,4d1c3079930b4975ce1858ab54,smc,4,4,4,4,4,Yes,2,1,3,4,5,male,45_to_60,middle_atlantic,android_mobile,175000_to_199999
118651107167,457190052,07/19/2024 12:48:46 AM,07/19/2024 12:49:09 AM,,,,,88e0e38458ec7c88232cdf4dd8,smc,5,4,5,5,4,Yes,2,4,1,5,3,male,30_to_44,south_atlantic,ios_mobile,50000_to_74999
118651107177,457190052,07/19/2024 12:48:48 AM,07/19/2024 12:49:08 AM,,,,,3ee7a6204e760d7d0f80625fa1,smc,4,5,4,,4,Yes,2,3,1,4,5,male,45_to_60,middle_atlantic,android_mobile,100000_to_124999
118651107141,457190052,07/19/2024 12:48:34 AM,07/19/2024 12:49:02 AM,,,,,810d4c5fcc5d02c29bb626d9e6,smc,5,5,5,5,5,Yes,2,3,1,4,5,male,30_to_44,middle_atlantic,android_mobile,200000_and_up
118651107101,457190052,07/19/2024 12:48:38 AM,07/19/2024 12:48:58 AM,,,,,51b26cb44771e305d26212a122,smc,5,5,5,5,5,Yes,4,3,2,1,5,male,30_to_44,south_atlantic,ios_mobile,100000_to_124999
118651107057,457190052,07/19/2024 12:48:22 AM,07/19/2024 12:48:54 AM,,,,,91474f92fbba0b4fecf304657f,smc,4,5,4,5,5,Yes,2,1,4,5,3,male,30_to_44,west_north_central,ios_mobile,25000_to_49999
118651107056,457190052,07/19/2024 12:48:09 AM,07/19/2024 12:48:54 AM,,,,,43f3f4ba9a52a66910ecdfaa83,smc,4,5,5,5,2,No,2,3,4,1,5,male,45_to_60,west_north_central,android_mobile,100000_to_124999
118651107045,457190052,07/19/2024 12:48:14 AM,07/19/2024 12:48:52 AM,,,,,46bbfed24ad0d96af8dfbaf78d,smc,3,3,3,3,2,Yes,5,4,3,2,1,female,30_to_44,east_north_central,android_mobile,100000_to_124999
118651107010,457190052,07/19/2024 12:48:31 AM,07/19/2024 12:48:47 AM,,,,,9a15ba803ede5c1e2d489c3622,smc,5,5,4,4,4,Yes,2,1,3,4,5,male,30_to_44,middle_atlantic,android_mobile,125000_to_149999
118651106918,457190052,07/19/2024 12:48:18 AM,07/19/2024 12:48:37 AM,,,,,c00a216dd77ebc32c41cbd2f98,smc,4,5,4,5,4,Yes,2,3,4,1,5,male,45_to_60,middle_atlantic,android_mobile,125000_to_149999
118651106881,457190052,07/19/2024 12:48:17 AM,07/19/2024 12:48:31 AM,,,,,2ad4db1e1ece0007ff17c52698,smc,3,4,4,5,4,Yes,3,1,2,4,5,male,45_to_60,middle_atlantic,android_mobile,25000_to_49999
118651106835,457190052,07/19/2024 12:48:12 AM,07/19/2024 12:48:25 AM,,,,,996315b28bbceadd850aea3044,smc,5,4,4,4,4,No,2,3,4,5,1,female,18_to_29,west_south_central,ios_mobile,25000_to_49999
118651106665,457190052,07/19/2024 12:45:35 AM,07/19/2024 12:48:04 AM,,,,,d0d3ebd381f6da4f5282303ebb,smc,4,5,5,3,2,Yes,1,5,2,3,4,female,18_to_29,east_north_central,ios_mobile,10000_to_24999
118651104607,457190052,07/19/2024 12:43:33 AM,07/19/2024 12:43:46 AM,,,,,62e0e8812c0eca0144f54693ed,smc,5,4,3,4,2,Yes,5,1,2,3,4,female,18_to_29,middle_atlantic,ios_mobile,100000_to_124999
118651103849,457190052,07/19/2024 12:40:55 AM,07/19/2024 12:42:13 AM,,,,,9f6ca220f98a29110ab2f0edd8,smc,5,5,5,5,4,No,4,1,2,3,5,male,45_to_60,south_atlantic,android_mobile,50000_to_74999
118651101046,457190052,07/19/2024 12:35:50 AM,07/19/2024 12:36:32 AM,,,,,500542582226d4ed3bab5d3203,smc,3,5,5,5,1,No,4,2,1,3,5,female,30_to_44,east_south_central,android_mobile,200000_and_up
118651098510,457190052,07/19/2024 12:30:40 AM,07/19/2024 12:31:23 AM,,,,,271be7a77fbeb04f1a7a9fcab0,smc,3,4,3,3,4,Yes,1,3,4,2,5,male,30_to_44,,ios_mobile,0_to_9999
118651096526,457190052,07/19/2024 12:26:29 AM,07/19/2024 12:27:25 AM,,,,,3815a2679e7790150c2a0f6e8b,smc,5,1,5,3,1,No,1,4,2,3,5,female,30_to_44,middle_atlantic,android_mobile,200000_and_up
118651094330,457190052,07/19/2024 12:21:07 AM,07/19/2024 12:23:12 AM,,,,,bb619dd0512fd852343a3065b9,smc,5,3,4,5,1,No,1,2,3,4,5,male,45_to_60,west_south_central,android_mobile,0_to_9999
118651092090,457190052,07/19/2024 12:18:36 AM,07/19/2024 12:18:52 AM,,,,,5d989b88faee376e2f7fec9c17,smc,5,5,4,5,4,Yes,1,3,4,2,5,male,45_to_60,middle_atlantic,android_mobile,125000_to_149999
118651089423,457190052,07/19/2024 12:12:29 AM,07/19/2024 12:13:50 AM,,,,,45902113f6843ef48b7d0d1ab4,smc,5,5,5,5,4,No,5,4,1,2,3,female,60_above,pacific,android_mobile,175000_to_199999
118651083024,457190052,07/19/2024 12:01:46 AM,07/19/2024 12:02:16 AM,,,,,fed9aa2d73c056fbf25b60935d,smc,4,4,3,4,4,Yes,5,1,2,4,3,female,30_to_44,west_south_central,ios_mobile,25000_to_49999
118651076661,457190052,07/18/2024 11:48:43 PM,07/18/2024 11:50:58 PM,,,,,92af4b5ef6931953d94a37c426,smc,5,4,4,3,2,No,1,2,3,4,5,female,30_to_44,east_south_central,android_mobile,25000_to_49999
118651074628,457190052,07/18/2024 11:42:05 PM,07/18/2024 11:47:17 PM,,,,,07bbd4bb4b0a22b5f469fcc392,smc,4,5,5,5,3,No,1,4,3,2,5,female,60_above,east_north_central,android_mobile,50000_to_74999
118651074514,457190052,07/18/2024 11:46:03 PM,07/18/2024 11:47:04 PM,,,,,c0ae89a9c547baa5c98dac60c2,smc,5,5,5,5,5,Yes,4,3,1,2,5,female,30_to_44,west_south_central,ios_mobile,75000_to_99999
118651074438,457190052,07/18/2024 11:45:13 PM,07/18/2024 11:46:55 PM,,,,,68e0e693b6de1760594ec91353,smc,3,5,4,3,3,Yes,3,1,2,4,5,male,30_to_44,south_atlantic,android_mobile,75000_to_99999
118651069871,457190052,07/18/2024 11:34:58 PM,07/18/2024 11:38:51 PM,,,,,ad820ff1e3144e9296676653c2,smc,5,5,4,5,4,No,1,3,2,5,4,female,60_above,east_south_central,android_mobile,150000_to_174999
118651068859,457190052,07/18/2024 11:35:28 PM,07/18/2024 11:37:10 PM,,,,,bad57c813f0cf45e9ee514d08c,smc,4,4,3,5,4,Yes,5,3,1,2,4,male,30_to_44,pacific,ios_mobile,25000_to_49999
118651068180,457190052,07/18/2024 11:34:18 PM,07/18/2024 11:36:03 PM,,,,,f43f76fb99853cb568137fff2f,smc,4,4,5,5,3,No,3,4,2,1,5,male,30_to_44,east_north_central,android_mobile,100000_to_124999
118651065829,457190052,07/18/2024 11:31:10 PM,07/18/2024 11:32:11 PM,,,,,e2df96324df0c6eb5227afc00c,smc,5,5,5,5,4,No,3,2,1,4,5,female,60_above,,ios_mobile,25000_to_49999
118651062715,457190052,07/18/2024 11:26:43 PM,07/18/2024 11:27:15 PM,,,,,2c9c04014df789347a6f438126,smc,3,2,3,3,4,No,5,4,3,2,1,female,30_to_44,east_north_central,ios_mobile,0_to_9999
118651058627,457190052,07/18/2024 11:19:15 PM,07/18/2024 11:20:50 PM,,,,,1492c605354d325159ce80367e,smc,5,5,5,5,4,No,1,5,3,2,4,female,45_to_60,south_atlantic,ios_mobile,50000_to_74999
118651058575,457190052,07/18/2024 11:19:10 PM,07/18/2024 11:20:45 PM,,,,,9ce32c941941225b2c639594df,smc,5,5,5,5,5,Yes,2,5,3,1,4,female,30_to_44,east_north_central,android_mobile,25000_to_49999
118651058487,457190052,07/18/2024 11:19:09 PM,07/18/2024 11:20:36 PM,,,,,60242ec7c8a51e0d790f5ca50e,smc,3,5,5,5,2,Yes,1,2,4,3,5,female,45_to_60,middle_atlantic,ios_mobile,10000_to_24999
118651058380,457190052,07/18/2024 11:19:08 PM,07/18/2024 11:20:25 PM,,,,,f97f9f3764385312c3b2f0f132,smc,5,1,5,4,3,Yes,5,1,4,3,2,female,18_to_29,new_england,ios_mobile,0_to_9999
118651058236,457190052,07/18/2024 11:19:13 PM,07/18/2024 11:20:12 PM,,,,,f14983ec8803ea60c64ff06ea5,smc,5,5,4,5,4,No,1,2,4,3,5,male,30_to_44,east_south_central,ios_mobile,25000_to_49999
118651058116,457190052,07/18/2024 11:19:10 PM,07/18/2024 11:20:01 PM,,,,,9c0c13404aa3d527a01c74bab2,smc,5,5,5,5,5,Yes,3,5,1,2,4,male,30_to_44,east_north_central,ios_mobile,125000_to_149999
118651058070,457190052,07/18/2024 11:19:10 PM,07/18/2024 11:19:58 PM,,,,,3dd4e6f9d6ab5a92af4418b593,smc,5,5,3,2,4,No,1,2,4,5,3,female,45_to_60,west_south_central,ios_mobile,no_answer
118651057910,457190052,07/18/2024 11:19:13 PM,07/18/2024 11:19:43 PM,,,,,f8d8da36b26a16c0566c2da420,smc,4,5,4,5,4,Yes,5,1,2,3,4,male,45_to_60,middle_atlantic,ios_mobile,150000_to_174999
118651057838,457190052,07/18/2024 11:19:11 PM,07/18/2024 11:19:36 PM,,,,,db50636699cd4d32731f53f565,smc,4,2,4,3,4,Yes,1,2,3,4,5,male,45_to_60,east_north_central,android_mobile,10000_to_24999
118651054773,457190052,07/18/2024 11:13:16 PM,07/18/2024 11:14:55 PM,,,,,9d1bd920aec0004c24237986fe,smc,4,4,4,4,3,Yes,4,3,1,2,5,male,45_to_60,middle_atlantic,ios_mobile,75000_to_99999
118651036485,457190052,07/18/2024 10:46:36 PM,07/18/2024 10:48:23 PM,,,,,0f97271d423bab2f01ab334c6a,smc,5,5,5,5,1,Yes,1,2,4,3,5,female,45_to_60,middle_atlantic,ios_mobile,50000_to_74999
118651027986,457190052,07/18/2024 10:32:04 PM,07/18/2024 10:36:09 PM,,,,,61962d0d56a04c756310e734da,smc,5,4,4,4,4,No,2,4,3,1,5,female,45_to_60,south_atlantic,android_mobile,10000_to_24999
118651025845,457190052,07/18/2024 10:32:07 PM,07/18/2024 10:33:21 PM,,,,,7163a9bdf7b7dc1db121579a08,smc,4,5,4,4,3,No,5,3,2,4,1,female,60_above,middle_atlantic,android_mobile,10000_to_24999
118651025785,457190052,07/18/2024 10:32:35 PM,07/18/2024 10:33:17 PM,,,,,46697557f0eed2e8c43424702c,smc,5,4,3,5,3,Yes,3,1,2,4,5,male,30_to_44,middle_atlantic,android_mobile,150000_to_174999
118651014227,457190052,07/18/2024 10:16:55 PM,07/18/2024 10:17:46 PM,,,,,875c5e37d03a7d5e4c7f91fe44,smc,5,5,5,5,5,No,1,2,3,4,5,male,45_to_60,pacific,android_mobile,75000_to_99999
118651009378,457190052,07/18/2024 10:10:22 PM,07/18/2024 10:11:33 PM,,,,,590100ef95ad98eea822fba2e4,smc,4,4,5,4,3,No,1,3,2,4,5,female,45_to_60,east_south_central,android_mobile,10000_to_24999
118651001626,457190052,07/18/2024 10:01:20 PM,07/18/2024 10:02:49 PM,,,,,2c804bed20270ccc2c661e302d,smc,5,5,4,4,4,No,1,2,5,3,4,female,45_to_60,east_north_central,ios_mobile,25000_to_49999
118651001142,457190052,07/18/2024 10:01:24 PM,07/18/2024 10:02:16 PM,,,,,5a9ee971c480c55328696064f9,smc,4,3,3,5,4,Yes,1,4,3,2,5,female,18_to_29,west_south_central,ios_mobile,10000_to_24999
118651001114,457190052,07/18/2024 10:01:11 PM,07/18/2024 10:02:13 PM,,,,,02b4388c29d132ed59a9c70e7a,smc,5,5,5,5,5,No,2,1,4,3,5,female,60_above,south_atlantic,ios_mobile,75000_to_99999
118651000424,457190052,07/18/2024 10:00:45 PM,07/18/2024 10:01:27 PM,,,,,911c84f361187061f40ab59cae,smc,1,5,3,4,1,No,2,1,4,3,5,female,30_to_44,pacific,ios_mobile,50000_to_74999
118650997134,457190052,07/18/2024 09:56:13 PM,07/18/2024 09:57:19 PM,,,,,7389055fc3b3d1189c30ea0e5d,smc,5,4,3,4,5,Yes,2,4,5,3,1,male,30_to_44,new_england,ios_mobile,175000_to_199999
118650992877,457190052,07/18/2024 09:50:39 PM,07/18/2024 09:51:14 PM,,,,,6c1fe1d406618b8c6f04ba2d05,smc,4,4,4,4,4,Yes,2,3,1,4,5,female,30_to_44,south_atlantic,android_mobile,125000_to_149999
118650990726,457190052,07/18/2024 09:47:09 PM,07/18/2024 09:48:06 PM,,,,,5cfd145792bceaa5adca547a6e,smc,4,5,4,5,4,No,5,1,3,2,4,male,45_to_60,middle_atlantic,ios_mobile,200000_and_up
118650984010,457190052,07/18/2024 09:36:40 PM,07/18/2024 09:38:28 PM,,,,,e035271852c4afa8d4b65f2fb9,smc,5,5,3,5,1,No,5,4,2,3,1,female,60_above,new_england,pc_windows,no_answer
118650983609,457190052,07/18/2024 09:36:52 PM,07/18/2024 09:37:54 PM,,,,,c6f0fbc193af2e260dec620e71,smc,4,4,3,4,5,Yes,3,1,2,4,5,male,30_to_44,middle_atlantic,android_mobile,100000_to_124999
118650983364,457190052,07/18/2024 09:36:43 PM,07/18/2024 09:37:32 PM,,,,,33f9cd7739d36899169a2f60bd,smc,4,4,4,5,3,Yes,3,4,2,1,5,male,30_to_44,east_north_central,android_mobile,10000_to_24999
118650983105,457190052,07/18/2024 09:36:44 PM,07/18/2024 09:37:10 PM,,,,,352e9aa79e3dd390c0533e3c47,smc,5,5,5,5,5,Yes,1,2,3,4,5,male,30_to_44,pacific,ios_mobile,50000_to_74999
